nombre_panel,Irradiancia,Temperatura,Voc,Isc,Ns,alpha_Isc,beta_Voc,Rs,Rsh,Vmpp,Impp,Pmax
panel_HansolTechnicsCo__LtdHS240SB_A,100,50,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.974487243621805,0.7454035005040814,23.08849121771471
panel_HansolTechnicsCo__LtdHS240SB_A,100,55,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.459629814907448,0.7460716522568126,23.471137995395683
panel_HansolTechnicsCo__LtdHS240SB_A,200,10,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,27.970335167583787,1.5501354993706897,43.35780947256806
panel_HansolTechnicsCo__LtdHS240SB_A,200,15,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.47413706853426,1.5528962001187336,44.21737925538683
panel_HansolTechnicsCo__LtdHS240SB_A,200,20,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.97793896948474,1.5556582597293411,45.07977010781169
panel_HansolTechnicsCo__LtdHS240SB_A,200,25,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.481740870435214,1.5584216120506025,45.944982133361776
panel_HansolTechnicsCo__LtdHS240SB_A,200,30,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.98554277138569,1.56118619515673,46.81301542896902
panel_HansolTechnicsCo__LtdHS240SB_A,200,35,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.489344672336163,1.563951951015822,47.683870085494
panel_HansolTechnicsCo__LtdHS240SB_A,200,40,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.99314657328664,1.5667188251884832,48.55754618819411
panel_HansolTechnicsCo__LtdHS240SB_A,200,45,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.496948474237115,1.569486766554018,49.43404381714892
panel_HansolTechnicsCo__LtdHS240SB_A,200,50,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.000750375187586,1.5722557270612905,50.31336304764742
panel_HansolTechnicsCo__LtdHS240SB_A,200,55,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.504552276138064,1.5750256615017053,51.19550395054112
panel_HansolTechnicsCo__LtdHS240SB_A,300,10,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.30620310155077,2.362476819708897,66.87274868138577
panel_HansolTechnicsCo__LtdHS240SB_A,300,15,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.828664332166078,2.3666622217421787,68.22771077822367
panel_HansolTechnicsCo__LtdHS240SB_A,300,20,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.332466233116556,2.372375925528305,69.58763672781764
panel_HansolTechnicsCo__LtdHS240SB_A,300,25,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.854927463731862,2.3765840179286943,70.9527434667256
panel_HansolTechnicsCo__LtdHS240SB_A,300,30,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.377388694347168,2.3808105734291196,72.32280819666794
panel_HansolTechnicsCo__LtdHS240SB_A,300,35,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.881190595297646,2.3865011531452835,73.69799696617712
panel_HansolTechnicsCo__LtdHS240SB_A,300,40,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.403651825912952,2.3907478614152704,75.07821344343114
panel_HansolTechnicsCo__LtdHS240SB_A,300,45,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,31.907453726863427,2.396414058561841,76.46347068396693
panel_HansolTechnicsCo__LtdHS240SB_A,300,50,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.429914957478736,2.4006797462178655,77.85384000998701
panel_HansolTechnicsCo__LtdHS240SB_A,300,55,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,32.95237618809404,2.404961122287662,79.24918361936388
panel_HansolTechnicsCo__LtdHS240SB_A,400,10,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.47413706853426,3.172497421471544,90.33412642855225
panel_HansolTechnicsCo__LtdHS240SB_A,400,15,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,28.99659829914957,3.1793798022414164,92.19119896602396
panel_HansolTechnicsCo__LtdHS240SB_A,400,20,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,29.519059529764878,3.1862674206063666,94.05561766662971
panel_HansolTechnicsCo__LtdHS240SB_A,400,25,37.3,8.61,60,0.004305,-0.13428,0.36998,335.8648,30.041520760380187,3.193160029819908,95.92738332705099
